platform,content_type,day_of_week,hour,followers,hashtags,likes,comments,shares,reach,engagement_rate
Instagram,Video,Thursday,6,624,19,7,0,0,142,0.017
TikTok,Video,Thursday,19,1508,18,27,0,1,284,0.0272
LinkedIn,Carousel,Monday,8,2755,25,81,7,4,1375,0.0586
Twitter,Video,Wednesday,15,35744,25,62,6,0,16726,0.0023
Instagram,Video,Wednesday,4,13416,7,107,4,7,4695,0.0141
LinkedIn,Video,Monday,18,2416,6,179,15,13,608,0.0939
Facebook,Carousel,Monday,7,4436,5,24,1,1,2054,0.007
TikTok,Video,Wednesday,17,2318,12,52,2,3,1285,0.0393
TikTok,Carousel,Sunday,18,14825,19,177,17,12,3464,0.0236
Facebook,Video,Thursday,13,26113,27,169,9,12,3884,0.0088
Facebook,Video,Sunday,14,10308,3,52,5,3,1738,0.0086
Twitter,Video,Sunday,18,27592,4,35,3,2,6240,0.0018
Facebook,Video,Sunday,18,48414,11,231,24,11,9421,0.0087
LinkedIn,Image,Sunday,13,2571,21,66,2,2,436,0.0331
LinkedIn,Video,Tuesday,4,9037,19,427,22,32,2251,0.0814
Facebook,Image,Saturday,21,10756,5,26,1,0,1731,0.0044
TikTok,Video,Wednesday,9,11184,18,192,13,12,2212,0.0275
Facebook,Image,Monday,7,10976,23,37,3,1,1106,0.0058
TikTok,Image,Monday,12,2773,3,38,3,2,874,0.0268
Instagram,Image,Tuesday,5,29699,7,284,31,4,6424,0.0132
Facebook,Video,Monday,12,3425,13,27,2,1,1825,0.0113
Instagram,Carousel,Tuesday,3,3368,17,29,2,2,1008,0.015
Facebook,Video,Tuesday,11,21961,10,149,4,4,4844,0.0091
Instagram,Video,Wednesday,12,2104,30,17,1,0,1094,0.0111
TikTok,Carousel,Tuesday,10,2036,24,28,2,0,275,0.026
Twitter,Video,Thursday,20,105318,4,173,12,4,16616,0.0026
Facebook,Image,Monday,19,6332,8,30,1,1,2357,0.0081
Instagram,Carousel,Tuesday,8,53181,20,530,47,9,15994,0.016
Facebook,Video,Monday,4,6626,1,22,1,1,1130,0.006
Facebook,Video,Sunday,16,244,23,0,0,0,89,0.0031
LinkedIn,Carousel,Sunday,19,5980,9,378,23,7,2381,0.0917
Facebook,Image,Monday,12,9032,17,44,3,2,4332,0.0063
LinkedIn,Video,Wednesday,19,4954,21,394,36,12,633,0.1568
LinkedIn,Video,Saturday,8,950,16,46,4,1,211,0.0855
Facebook,Video,Monday,7,13085,27,76,5,1,2396,0.0088
Twitter,Video,Monday,20,449983,17,557,32,25,93726,0.0024
Facebook,Video,Tuesday,12,12658,13,81,4,5,4866,0.01
Facebook,Carousel,Sunday,18,17325,30,89,7,3,6450,0.007
Instagram,Carousel,Monday,4,99072,13,732,45,39,19141,0.0102
LinkedIn,Image,Tuesday,16,4018,11,175,13,6,1633,0.082
Facebook,Video,Tuesday,14,1770,13,9,0,0,211,0.0104
Twitter,Video,Sunday,12,15150,26,15,1,0,7995,0.0013
TikTok,Video,Thursday,17,4797,25,93,6,4,2529,0.0286
TikTok,Text,Wednesday,5,63716,8,476,45,31,10166,0.01
Instagram,Video,Tuesday,4,20852,26,115,7,8,9584,0.0079
Twitter,Image,Saturday,14,19344,14,13,0,0,8818,0.0013
Facebook,Image,Wednesday,21,17315,5,127,10,6,5971,0.0105
TikTok,Video,Friday,18,3338,24,90,6,6,1585,0.0438
Facebook,Video,Saturday,21,8159,10,64,2,2,2187,0.0109
Twitter,Video,Monday,16,6159,20,5,0,0,2025,0.0016
TikTok,Carousel,Thursday,6,3895,6,71,7,1,1512,0.028
Instagram,Video,Thursday,12,74068,16,1096,57,18,21970,0.0189
LinkedIn,Text,Friday,15,1270,3,27,1,1,740,0.0353
Twitter,Text,Sunday,9,48994,21,28,1,0,9057,0.001
Instagram,Image,Monday,13,11016,16,102,6,7,4181,0.0162
TikTok,Video,Wednesday,18,44210,21,947,61,65,12066,0.0426
Instagram,Carousel,Monday,12,13271,27,167,6,5,2666,0.0184
Twitter,Carousel,Wednesday,10,19110,14,17,1,0,5027,0.0016
TikTok,Video,Wednesday,20,14730,9,370,23,11,1748,0.05
TikTok,Image,Thursday,12,6187,28,115,13,6,1742,0.0258
Twitter,Video,Monday,8,22132,30,19,0,0,6629,0.0017
Instagram,Video,Saturday,23,61488,30,584,59,23,32881,0.0155
Instagram,Text,Sunday,17,21296,15,59,3,1,11971,0.0052
Instagram,Video,Monday,7,1425,1,10,1,0,568,0.0113
LinkedIn,Image,Monday,9,810,28,29,2,1,384,0.068
TikTok,Image,Sunday,21,20503,24,476,33,20,6007,0.0306
Twitter,Carousel,Saturday,20,20696,6,24,0,1,5291,0.0022
TikTok,Image,Friday,20,1945,4,27,2,1,415,0.0239
Instagram,Video,Tuesday,19,7887,10,108,7,3,2176,0.0266
LinkedIn,Image,Monday,18,2276,1,93,9,1,759,0.0814
LinkedIn,Image,Sunday,10,1893,18,72,7,5,426,0.057
TikTok,Text,Sunday,10,22376,29,163,11,4,12965,0.0112
Instagram,Image,Saturday,22,18600,18,169,11,6,8649,0.0122
TikTok,Video,Thursday,10,5516,29,117,7,5,3060,0.0271
Instagram,Carousel,Wednesday,17,151971,29,2003,64,94,67500,0.0179
LinkedIn,Video,Tuesday,9,159931,12,14762,1741,1029,55842,0.1676
LinkedIn,Video,Wednesday,6,3648,20,140,14,9,389,0.0711
Facebook,Video,Monday,19,71676,17,423,43,11,15209,0.0098
TikTok,Video,Wednesday,8,8791,26,93,8,5,4714,0.0204
Instagram,Image,Sunday,18,2602,14,22,2,0,1517,0.0139
Twitter,Video,Thursday,17,3919,27,4,0,0,626,0.0021
Instagram,Video,Sunday,12,1055,15,8,0,0,619,0.0137
TikTok,Image,Saturday,16,4142,0,71,4,3,430,0.023
TikTok,Text,Wednesday,8,6577,6,74,8,1,1312,0.0211
TikTok,Image,Tuesday,7,1850,6,24,2,0,524,0.0214
TikTok,Text,Wednesday,12,528,22,5,0,0,76,0.016
LinkedIn,Video,Saturday,17,4471,21,177,11,5,1997,0.0791
Facebook,Video,Sunday,20,44822,14,369,25,18,4528,0.0133
Instagram,Image,Saturday,20,150619,16,1319,67,58,38425,0.017
Instagram,Image,Monday,4,149236,9,588,26,18,61269,0.0062
TikTok,Text,Thursday,6,38280,17,366,26,17,4485,0.0138
LinkedIn,Video,Saturday,13,1696,13,115,5,1,665,0.0849
TikTok,Image,Friday,13,12618,26,166,14,2,1970,0.0176
Instagram,Video,Tuesday,21,5134,25,82,5,3,1982,0.0203
Twitter,Text,Tuesday,11,13112,0,10,0,0,7699,0.0011
Twitter,Video,Wednesday,17,8595,16,10,0,0,3388,0.0022
Instagram,Video,Saturday,17,2973,13,30,3,1,760,0.0159
TikTok,Video,Saturday,21,19152,21,444,15,15,8301,0.0392
Instagram,Video,Wednesday,20,6706,14,111,10,7,1490,0.0317
TikTok,Carousel,Wednesday,11,146385,10,2589,224,30,67390,0.0307
TikTok,Image,Tuesday,11,2170,23,39,1,0,416,0.0271
Instagram,Image,Friday,1,9354,25,43,2,2,2217,0.0077
Instagram,Carousel,Wednesday,20,35301,27,593,32,34,8927,0.0238
Facebook,Image,Sunday,16,13157,19,51,4,3,1685,0.0053
LinkedIn,Text,Thursday,16,10929,1,395,17,23,2054,0.0537
Instagram,Image,Tuesday,13,21969,7,241,19,8,11343,0.0143
TikTok,Text,Friday,12,1923,17,13,1,0,1053,0.0118
Instagram,Carousel,Monday,16,11742,21,69,5,2,1591,0.0107
Facebook,Video,Sunday,6,62185,4,137,12,3,9253,0.0041
Instagram,Text,Friday,7,5011,7,20,0,0,758,0.0073
Instagram,Image,Thursday,15,17175,20,156,18,9,3809,0.0115
Facebook,Video,Wednesday,20,5879,15,47,1,2,876,0.0144
TikTok,Text,Friday,20,2144,2,27,3,1,987,0.0222
Instagram,Carousel,Friday,17,4516,2,31,3,2,2412,0.0091
Instagram,Video,Tuesday,21,26576,30,300,16,16,15486,0.0201
Twitter,Image,Thursday,16,9049,16,7,0,0,2084,0.0014
Instagram,Image,Wednesday,16,1366,30,11,0,0,175,0.0108
Instagram,Image,Tuesday,9,6297,1,35,4,1,3000,0.0082
TikTok,Video,Saturday,14,8005,25,131,13,6,4349,0.0261
TikTok,Image,Sunday,21,14353,0,182,9,7,3913,0.0183
Instagram,Image,Tuesday,7,5440,23,47,1,0,2139,0.0161
TikTok,Image,Tuesday,18,3152,27,55,6,2,595,0.0305
TikTok,Image,Friday,19,798,26,12,0,0,161,0.0218
LinkedIn,Image,Sunday,14,1640,9,73,8,0,651,0.0587
LinkedIn,Image,Monday,13,12368,10,810,63,43,4594,0.0834
Instagram,Image,Tuesday,21,1118,9,11,0,0,633,0.0191
Twitter,Video,Wednesday,5,21557,3,17,0,0,4801,0.001
LinkedIn,Carousel,Wednesday,0,2178,15,78,5,1,798,0.0709
Twitter,Carousel,Friday,9,3046,7,1,0,0,824,0.0011
TikTok,Video,Saturday,20,12573,20,307,10,5,5237,0.0338
Facebook,Image,Friday,19,19265,12,101,7,7,10670,0.0072
Instagram,Text,Thursday,19,11265,30,50,5,1,4322,0.0083
TikTok,Text,Sunday,17,8573,28,61,6,0,3180,0.0102
TikTok,Image,Saturday,17,13460,6,144,14,6,7133,0.018
Instagram,Image,Monday,22,2474,19,17,1,1,1458,0.0123
TikTok,Image,Saturday,20,177708,25,2640,149,26,103345,0.0257
Twitter,Carousel,Sunday,13,15606,27,14,0,0,4058,0.0013
Facebook,Carousel,Tuesday,20,1823,13,11,1,0,278,0.0112
TikTok,Carousel,Monday,13,1030,16,15,1,0,517,0.0222
TikTok,Video,Tuesday,15,9882,28,233,19,10,3742,0.0306
Twitter,Carousel,Wednesday,10,6469,9,4,0,0,2431,0.0014
TikTok,Image,Tuesday,10,2321,15,30,2,0,1002,0.0224
Instagram,Image,Sunday,11,1008,23,6,0,0,541,0.012
TikTok,Carousel,Wednesday,21,6390,15,132,6,10,3758,0.0395
TikTok,Text,Tuesday,7,7941,14,84,8,3,1596,0.0209
Instagram,Image,Wednesday,19,8741,9,117,6,4,4179,0.0246
TikTok,Video,Tuesday,16,65877,3,1919,149,82,38903,0.0386
LinkedIn,Video,Tuesday,7,158,19,19,1,0,19,0.158
Instagram,Video,Sunday,8,7158,28,63,6,4,936,0.0176
TikTok,Video,Wednesday,4,3636,25,56,4,2,674,0.0239
Instagram,Video,Sunday,14,1814,12,15,0,0,262,0.0152
Instagram,Video,Saturday,19,10480,4,127,13,3,1428,0.0213
LinkedIn,Image,Tuesday,14,29721,28,1090,63,71,13103,0.0569
Facebook,Carousel,Thursday,11,22167,4,131,8,2,11066,0.0097
LinkedIn,Video,Saturday,11,8717,15,251,18,9,5108,0.0575
Instagram,Image,Wednesday,12,1517,6,19,1,0,280,0.0182
Instagram,Video,Saturday,5,1169,10,6,0,0,479,0.0117
LinkedIn,Carousel,Monday,20,148201,5,5612,624,76,78810,0.0593
TikTok,Text,Wednesday,11,221525,20,2823,177,194,43744,0.0221
Facebook,Image,Wednesday,5,1791,4,2,0,0,450,0.0024
LinkedIn,Text,Sunday,10,3030,22,66,6,2,1038,0.0369
Facebook,Image,Saturday,14,41384,27,114,10,3,11218,0.0043
Instagram,Image,Tuesday,17,9192,15,83,5,1,1807,0.0137
Twitter,Image,Thursday,20,910,13,0,0,0,437,0.0018
Twitter,Carousel,Wednesday,17,39054,12,40,2,3,15548,0.002
LinkedIn,Video,Thursday,1,15106,13,772,89,57,3861,0.0806
Instagram,Carousel,Thursday,9,198,18,1,0,0,101,0.0116
LinkedIn,Video,Saturday,8,11484,16,564,29,23,4757,0.0967
LinkedIn,Carousel,Friday,19,137046,22,8445,360,346,52176,0.0893
Facebook,Image,Thursday,20,24187,6,175,6,12,6398,0.0095
TikTok,Image,Monday,18,3222,5,47,2,3,1570,0.0275
LinkedIn,Carousel,Saturday,23,2866,8,143,6,10,1385,0.0796
Instagram,Image,Saturday,18,7382,2,47,4,1,4260,0.0094
Facebook,Carousel,Saturday,2,34011,30,122,4,5,17704,0.0056
Twitter,Image,Saturday,13,3103,22,2,0,0,1382,0.0013
Facebook,Text,Wednesday,19,8834,2,31,3,1,4522,0.0045
LinkedIn,Text,Saturday,17,21699,16,819,78,44,6073,0.0521
TikTok,Text,Tuesday,13,5059,8,57,5,1,1489,0.0218
TikTok,Text,Sunday,2,22782,6,101,7,1,3243,0.0085
Facebook,Carousel,Monday,9,20401,6,107,3,1,10758,0.0069
LinkedIn,Carousel,Sunday,22,4158,6,207,9,3,2491,0.0675
Instagram,Carousel,Saturday,11,4448,3,44,2,3,2375,0.0166
TikTok,Video,Tuesday,16,17626,29,266,19,4,6690,0.026
TikTok,Video,Thursday,18,6206,9,107,3,3,2339,0.0301
Instagram,Video,Tuesday,9,1829,17,16,0,0,695,0.0166
TikTok,Image,Sunday,15,1228,19,16,1,0,353,0.0165
Twitter,Image,Wednesday,21,4659,20,5,0,0,910,0.0019
Facebook,Image,Wednesday,11,15576,8,65,3,4,6087,0.0078
TikTok,Image,Thursday,8,166,8,4,0,0,32,0.0375
Instagram,Image,Friday,3,12537,6,65,4,3,1963,0.0086
TikTok,Image,Tuesday,18,5949,23,103,10,4,3360,0.0276
Twitter,Video,Monday,21,2454,13,4,0,0,1343,0.0027
Instagram,Image,Thursday,18,1071,13,12,0,0,386,0.0194
Instagram,Video,Friday,10,705,10,12,1,0,187,0.0251
LinkedIn,Video,Saturday,9,30095,1,1972,160,103,10881,0.0875
Facebook,Video,Saturday,17,17535,9,79,2,2,4837,0.0064
TikTok,Video,Wednesday,19,702,8,18,1,0,284,0.0401
TikTok,Video,Sunday,0,3935,26,33,1,0,840,0.0116
TikTok,Image,Saturday,8,16540,7,176,14,12,9004,0.0167
LinkedIn,Video,Tuesday,19,8545,26,649,19,6,2634,0.1184
Instagram,Carousel,Friday,22,10538,26,71,8,4,1444,0.0105
Twitter,Image,Monday,6,382414,5,362,16,8,213227,0.0012
TikTok,Video,Monday,7,3756,24,71,8,1,2030,0.0248
TikTok,Video,Thursday,19,9790,25,217,6,6,3857,0.0406
Instagram,Image,Friday,14,44565,27,296,30,20,16724,0.0085
Facebook,Video,Monday,6,1543,7,8,0,0,230,0.0071
LinkedIn,Image,Wednesday,14,19288,29,1024,82,23,2890,0.0711
Instagram,Carousel,Monday,14,8777,29,70,7,4,4968,0.0119
Facebook,Carousel,Tuesday,19,3362,20,17,1,0,1196,0.0085
Twitter,Text,Tuesday,12,12906,8,8,0,0,6099,0.001
TikTok,Video,Sunday,12,212262,2,2568,292,188,104145,0.0213
Instagram,Video,Wednesday,18,1189,27,16,0,0,544,0.0191
TikTok,Video,Monday,22,2259,19,40,4,1,443,0.0296
Instagram,Carousel,Thursday,3,46069,0,482,19,33,15729,0.0134
LinkedIn,Image,Friday,21,6272,27,190,5,6,1949,0.041
Instagram,Video,Thursday,16,25623,11,368,37,13,14135,0.0247
Instagram,Video,Thursday,8,2262,11,33,2,1,1283,0.0191
Instagram,Video,Thursday,20,166266,11,3168,300,222,71002,0.0326
TikTok,Video,Wednesday,13,9307,11,233,13,12,3432,0.0345
Instagram,Video,Monday,18,4628,27,43,4,1,1496,0.0186
Instagram,Carousel,Saturday,14,47871,29,448,29,34,20156,0.0142
Instagram,Video,Saturday,21,5393,3,67,5,3,2830,0.0241
Instagram,Video,Saturday,19,10384,28,99,10,3,3268,0.0128
TikTok,Video,Friday,22,2489,2,45,3,2,1383,0.0237
TikTok,Image,Wednesday,17,730,21,7,0,0,109,0.0163
LinkedIn,Video,Monday,19,2242,15,212,10,3,623,0.1245
LinkedIn,Image,Monday,10,15491,12,702,67,37,1571,0.0867
Instagram,Carousel,Thursday,15,1092,25,15,1,0,471,0.0248
Facebook,Image,Monday,7,6254,22,18,0,0,3371,0.0059
TikTok,Text,Sunday,9,36036,14,309,20,13,3877,0.0129
Instagram,Image,Friday,7,4259,15,30,1,1,1346,0.013
LinkedIn,Video,Tuesday,19,10846,0,1065,70,44,2698,0.1702
Instagram,Image,Wednesday,16,3534,2,33,3,0,983,0.0121
LinkedIn,Carousel,Tuesday,17,6498,20,242,28,14,1338,0.0566
Instagram,Carousel,Friday,14,10675,17,109,4,5,5761,0.0133
TikTok,Image,Saturday,9,14552,8,179,16,3,4994,0.0193
LinkedIn,Text,Monday,23,29490,20,1038,84,13,12149,0.0549
LinkedIn,Text,Saturday,13,59878,3,2484,273,71,30620,0.0526
TikTok,Image,Thursday,9,5679,26,82,5,4,2340,0.0223
Instagram,Carousel,Tuesday,9,36879,11,486,18,21,21974,0.0182
Facebook,Video,Tuesday,10,6418,14,21,0,0,1459,0.0053
Twitter,Video,Tuesday,14,15940,16,15,1,1,9144,0.0018
TikTok,Video,Tuesday,5,5612,15,103,10,4,3208,0.0293
Twitter,Text,Friday,14,13325,17,9,1,0,7635,0.001
Instagram,Video,Friday,22,20566,16,205,12,10,2808,0.0149
Facebook,Video,Wednesday,11,275862,26,1368,94,92,152494,0.0071
Instagram,Image,Wednesday,19,7738,16,63,3,2,3997,0.0149
Twitter,Image,Wednesday,15,4226,7,4,0,0,2125,0.002
Instagram,Video,Tuesday,13,33155,3,372,16,4,4504,0.0209
LinkedIn,Image,Friday,18,56384,1,3729,320,91,19849,0.122
TikTok,Video,Sunday,15,12499,16,151,13,7,6848,0.0234
LinkedIn,Video,Tuesday,16,6040,8,421,14,31,3119,0.0911
Instagram,Carousel,Tuesday,7,77264,8,666,60,52,31169,0.0172
Instagram,Video,Monday,9,782,21,10,0,0,366,0.0267
Instagram,Image,Monday,8,56069,10,474,19,8,22976,0.0135
LinkedIn,Carousel,Wednesday,10,8044,16,348,34,27,4608,0.0788
Instagram,Text,Thursday,13,47371,14,368,27,18,9215,0.0127
Twitter,Carousel,Thursday,10,622,8,0,0,0,274,0.0017
LinkedIn,Image,Saturday,23,126918,10,4835,569,145,39586,0.0721
LinkedIn,Video,Saturday,15,93719,25,4472,141,260,23494,0.0886
LinkedIn,Video,Saturday,12,1284,20,84,3,4,400,0.083
TikTok,Video,Friday,10,26646,9,498,20,26,8578,0.0335
Instagram,Carousel,Thursday,13,2481,9,36,3,1,818,0.0209
Instagram,Video,Thursday,20,44649,0,606,67,38,14526,0.0266
Facebook,Text,Wednesday,20,3064,25,9,0,0,1343,0.0057
TikTok,Video,Sunday,16,1005,7,15,0,1,285,0.0238
TikTok,Image,Monday,19,17580,9,388,22,4,6878,0.0368
LinkedIn,Text,Tuesday,14,8432,2,312,16,22,4271,0.0518
Twitter,Text,Sunday,6,679,17,0,0,0,356,0.001
Instagram,Carousel,Thursday,14,3090,21,35,3,1,596,0.0198
Instagram,Image,Sunday,19,340,17,3,0,0,156,0.0129
LinkedIn,Text,Tuesday,11,62080,16,3510,187,55,9910,0.0817
Instagram,Image,Friday,19,1559,12,9,0,0,926,0.0113
Instagram,Video,Thursday,9,10031,3,147,11,10,3664,0.0219
Instagram,Carousel,Wednesday,14,63077,22,723,29,43,22086,0.0164
Facebook,Text,Monday,19,6884,16,17,1,0,1268,0.0046
LinkedIn,Carousel,Wednesday,18,1812,0,155,12,8,559,0.1598
LinkedIn,Image,Monday,13,9571,11,483,46,15,1799,0.0887
Facebook,Video,Sunday,10,1740,19,6,0,0,329,0.0066
Twitter,Image,Wednesday,4,3984,28,3,0,0,582,0.001
LinkedIn,Video,Saturday,17,6496,27,414,30,21,1707,0.0879
Twitter,Carousel,Sunday,21,33443,30,27,1,0,15985,0.0016
LinkedIn,Video,Monday,10,2774,4,142,14,8,1322,0.0985
LinkedIn,Carousel,Friday,7,16241,26,800,46,45,1879,0.0836
LinkedIn,Carousel,Friday,11,13518,27,972,74,49,6416,0.1093
Twitter,Video,Sunday,21,12644,17,13,0,0,2335,0.0015
LinkedIn,Carousel,Friday,5,4856,18,255,23,9,2159,0.0675
TikTok,Video,Monday,6,8912,21,131,7,1,3027,0.02
Instagram,Video,Friday,11,5086,2,51,2,3,1591,0.0129
Twitter,Image,Wednesday,8,10353,28,5,0,0,3430,0.001
Facebook,Video,Wednesday,0,23373,6,107,3,5,4253,0.0066
LinkedIn,Video,Tuesday,16,18057,9,1241,54,72,2963,0.0984
TikTok,Video,Friday,17,9456,17,146,5,7,5372,0.0307
Facebook,Text,Tuesday,9,2356,22,5,0,0,617,0.0038
TikTok,Video,Wednesday,16,4468,28,113,6,6,1087,0.0367
Instagram,Image,Saturday,21,8914,17,65,4,3,4132,0.013
Instagram,Text,Sunday,17,3326,24,12,1,0,966,0.0058
Twitter,Video,Tuesday,9,876,15,1,0,0,335,0.002
TikTok,Image,Sunday,18,44501,28,531,36,19,13466,0.0215
Instagram,Carousel,Saturday,20,6402,18,60,3,4,2459,0.0134
TikTok,Video,Tuesday,17,4089,26,67,7,1,1729,0.0325
Instagram,Carousel,Wednesday,13,547,7,4,0,0,108,0.0138
Instagram,Image,Saturday,11,5299,30,24,2,1,2514,0.008
TikTok,Image,Sunday,14,1417,20,16,0,0,531,0.0225
Facebook,Video,Saturday,18,18757,14,114,11,3,2580,0.0091
LinkedIn,Image,Sunday,18,632,27,28,1,0,316,0.0662
Instagram,Text,Monday,19,49236,13,516,43,32,15922,0.0149
TikTok,Image,Saturday,17,2254,2,35,1,2,1198,0.0201
Facebook,Video,Saturday,18,7376,3,33,3,2,915,0.0076
LinkedIn,Image,Monday,7,1798,19,82,9,2,1034,0.0637
Instagram,Image,Saturday,20,171530,25,1411,47,100,44163,0.0151
Instagram,Image,Friday,7,21292,7,147,7,1,2511,0.0132
Twitter,Image,Monday,18,32202,6,41,3,1,10283,0.0023
Facebook,Carousel,Wednesday,10,2161,21,12,1,0,1254,0.0074
LinkedIn,Video,Sunday,21,12836,21,630,71,31,3617,0.0929
Facebook,Video,Sunday,4,6138,19,19,1,1,2066,0.0055
LinkedIn,Image,Friday,8,2495,18,78,7,1,262,0.0494
Facebook,Carousel,Wednesday,11,1183,3,7,0,0,624,0.009
TikTok,Text,Monday,13,12235,24,110,7,6,3909,0.0155
Instagram,Carousel,Sunday,17,4236,10,41,3,1,1761,0.017
Instagram,Text,Wednesday,21,22261,6,150,6,9,2996,0.0118
TikTok,Video,Tuesday,16,537,15,14,0,0,82,0.044
LinkedIn,Carousel,Monday,12,4271,7,313,15,15,714,0.1199
TikTok,Text,Tuesday,8,177498,25,1625,105,21,88852,0.0115
LinkedIn,Video,Tuesday,8,74399,3,6893,217,301,19753,0.1259
LinkedIn,Video,Wednesday,7,517,19,29,2,0,51,0.1053
Instagram,Text,Friday,3,454514,17,2073,209,40,116032,0.0071
LinkedIn,Carousel,Wednesday,9,14000,19,661,76,7,3526,0.0772
Twitter,Video,Monday,9,1692,27,1,0,0,905,0.0018
Instagram,Carousel,Wednesday,22,5859,14,50,3,0,2594,0.014
TikTok,Video,Thursday,17,3172,20,70,8,1,529,0.0289
Instagram,Text,Monday,0,2962,30,8,0,0,785,0.0044
Instagram,Video,Tuesday,10,3715,9,40,2,2,493,0.0154
Instagram,Image,Tuesday,6,67088,13,520,37,37,33907,0.0099
Twitter,Text,Friday,15,9838,17,5,0,0,5269,0.001
Instagram,Video,Wednesday,11,12612,30,129,8,1,3236,0.0141
TikTok,Video,Saturday,13,13998,3,200,6,6,6021,0.0278
LinkedIn,Image,Sunday,17,15644,28,417,47,32,1647,0.0361
LinkedIn,Image,Tuesday,6,5750,10,191,14,8,3166,0.0592
Instagram,Video,Tuesday,17,57417,21,442,17,6,22649,0.0128
TikTok,Carousel,Wednesday,3,12923,5,132,4,7,6528,0.0181
Facebook,Video,Friday,1,8344,30,23,0,0,4052,0.004
Facebook,Image,Saturday,2,16741,8,48,2,0,3357,0.0041
Instagram,Video,Sunday,19,8719,19,123,14,9,2534,0.0187
Instagram,Video,Sunday,13,14707,6,138,4,9,2396,0.0149
Twitter,Text,Sunday,6,5344,3,3,0,0,988,0.001
TikTok,Image,Tuesday,19,1161,14,32,3,2,135,0.0358
TikTok,Image,Saturday,22,7641,23,130,7,9,2561,0.0227
TikTok,Text,Monday,11,35229,30,515,36,7,11908,0.0193
LinkedIn,Image,Tuesday,15,1462,7,74,5,3,270,0.0758
LinkedIn,Text,Saturday,15,50373,9,1753,203,111,29457,0.0543
LinkedIn,Video,Wednesday,15,1080,25,54,3,3,564,0.0831
TikTok,Carousel,Saturday,0,8879,11,70,8,2,2895,0.0126
Instagram,Video,Thursday,10,17481,11,207,17,15,5411,0.0185
Facebook,Video,Wednesday,23,2590,6,13,0,0,1504,0.0078
Instagram,Image,Sunday,16,757,6,5,0,0,336,0.0096
LinkedIn,Text,Saturday,9,18252,19,505,56,37,8568,0.0385
Instagram,Carousel,Friday,22,5346,24,67,3,2,1925,0.0159
Instagram,Video,Monday,2,11982,20,110,11,2,3546,0.014
TikTok,Video,Sunday,10,9267,29,153,8,5,2903,0.0218
Instagram,Video,Wednesday,12,1528,30,12,1,0,608,0.0149
Twitter,Video,Friday,20,44416,1,53,3,2,10293,0.0022
TikTok,Video,Thursday,12,5574,16,84,5,5,2452,0.0298
LinkedIn,Text,Friday,12,78626,4,1439,80,110,36722,0.0331
LinkedIn,Carousel,Saturday,19,1642,15,176,11,6,242,0.1447
Twitter,Video,Saturday,5,420,8,0,0,0,244,0.0015
LinkedIn,Carousel,Wednesday,14,622,12,34,1,0,329,0.0906
Instagram,Carousel,Tuesday,17,1911,4,16,0,0,959,0.0143
Instagram,Carousel,Monday,14,31644,0,326,36,20,11753,0.0166
TikTok,Video,Saturday,12,8095,23,172,18,7,3361,0.0285
Instagram,Image,Tuesday,20,27893,30,232,11,17,16154,0.0157
Instagram,Video,Friday,6,12203,30,113,11,7,3328,0.0135
Instagram,Image,Saturday,17,712,25,4,0,0,286,0.009
Facebook,Image,Friday,14,5996,9,41,3,1,2551,0.0088
Facebook,Text,Thursday,15,2307,16,3,0,0,731,0.0024
TikTok,Video,Thursday,21,16672,0,313,15,14,6217,0.0362
Instagram,Video,Sunday,7,12581,4,118,12,2,5071,0.0188
TikTok,Image,Thursday,17,30637,16,254,25,2,7554,0.0164
Instagram,Image,Sunday,15,360371,28,1915,113,50,83359,0.0071
TikTok,Carousel,Sunday,17,19547,15,248,26,15,10228,0.0178
Instagram,Video,Thursday,20,413,23,6,0,0,190,0.0261
TikTok,Video,Tuesday,9,18518,7,358,23,28,5472,0.0304
Instagram,Video,Friday,9,3828,7,41,1,2,1838,0.0151
TikTok,Text,Wednesday,16,3177,5,36,3,0,838,0.0144
Instagram,Image,Sunday,6,3217,7,20,0,0,741,0.0094
TikTok,Text,Sunday,9,342,29,2,0,0,166,0.0136
TikTok,Video,Thursday,10,5735,14,81,3,1,899,0.0282
TikTok,Text,Saturday,16,1027,0,6,0,0,495,0.0098
TikTok,Video,Sunday,23,30286,12,637,21,11,6103,0.0288
TikTok,Carousel,Saturday,16,3803,23,48,3,1,1573,0.0215
TikTok,Text,Sunday,20,36861,10,295,15,10,11255,0.013
LinkedIn,Image,Sunday,17,1527,24,49,3,1,580,0.0439
Instagram,Video,Thursday,18,10857,13,178,20,7,1243,0.0321
LinkedIn,Image,Saturday,23,128567,3,3476,178,238,63249,0.0425
Facebook,Carousel,Friday,12,148531,10,1070,45,60,15176,0.0093
Twitter,Video,Wednesday,19,356,0,0,0,0,68,0.0028
TikTok,Video,Thursday,1,4347,17,47,5,1,2418,0.0211
Facebook,Carousel,Wednesday,14,14434,3,62,4,1,1644,0.0079
Facebook,Video,Saturday,13,56144,13,305,23,3,22884,0.0081
Facebook,Video,Monday,0,42838,11,145,9,8,6582,0.0064
Instagram,Video,Thursday,6,5627,9,67,4,4,3177,0.0189
TikTok,Text,Saturday,19,8505,8,104,4,6,4139,0.0198
Facebook,Video,Saturday,20,39146,8,256,18,2,14813,0.01
LinkedIn,Image,Sunday,8,71637,21,1520,99,43,13189,0.0311
LinkedIn,Image,Friday,16,47322,20,1799,143,19,21212,0.055
